code,split_index
us-in-099,0.014164967
us-in-101,0.066020903
us-in-103,0.022422684
us-in-105,0.036952872
us-in-107,0.059007359
us-in-109,0.069677653
us-in-111,0.064456667
us-in-113,0.042013417
us-in-115,0.02715416
us-in-117,0.186629552
us-in-119,0.051845474
us-in-121,0.041543622
us-in-123,0.028242731
us-in-125,0.091166498
us-in-127,0.671532743
us-in-129,0.002699897
us-in-131,0.010515183
us-in-133,0.002218211
us-in-135,0.007830227
us-in-137,0.018580273
us-in-139,0.037428621
us-in-141,0.011376874
us-in-143,0.188822186
us-in-145,0.076383974
us-in-147,0.013244422
us-in-149,0.060349775
us-in-151,0.07354998
us-in-153,0.190085899
us-in-155,0.055262246
us-in-157,0.037851174
us-in-159,0.001414916
us-in-161,0.015786968
us-in-163,0.048132093
us-in-165,0.119557859
us-in-167,0.032535139
us-in-169,0.010421667
us-in-171,0.061770985
us-in-173,0.027109205
us-in-175,0.197278178
us-in-177,0.026708659
us-in-179,0.034039852
us-in-181,0.001679994
us-in-183,0.078056477
us-ia-001,0.045375987
us-ia-003,0.039555929
us-ia-005,0.021127642
us-ia-007,0.193442083
us-ia-009,0.058265721
us-ia-011,0.016213969
us-ia-013,0.052506986
us-ia-015,0.033288011
us-ia-017,0.051954138
us-ia-019,0.026752953
us-ia-021,0.062550782
us-ia-023,0.012897439
us-ia-025,0.048805516
us-ia-027,0.060262508
us-ia-029,0.036915147
us-ia-031,0.13586055
us-ia-033,0.017379341
us-ia-035,0.096284357
us-ia-037,
us-ia-039,0.160003572
us-ia-041,
us-ia-043,0.015476238
us-ia-045,0.093485458
us-ia-047,
us-ia-049,0.118432847
us-ia-051,0.306394098
us-ia-053,0.156634127
us-ia-055,0.031313445
us-ia-057,0.128519132
us-ia-059,
us-ia-061,0.066634967
us-ia-063,0.073872656
us-ia-065,
us-ia-067,0.028032107
us-ia-069,0.032290967
us-ia-071,0.047934767
us-ia-073,0.049431076
us-ia-075,0.039572609
us-ia-077,0.037963728
us-ia-079,0.010297358
us-ia-081,0.055556881
us-ia-083,0.021351606
us-ia-085,
us-ia-087,0.16638651
us-ia-089,
us-ia-091,
us-ia-093,
us-ia-095,
us-ia-097,
us-ia-099,
us-ia-101,
us-ia-103,
us-ia-105,0.022431637
us-ia-107,
us-ia-109,
us-ia-111,0.176431001
us-ia-113,0.058620304
us-ia-115,0.1430227
us-ia-117,0.127209147
us-ia-119,0.03974036
us-ia-121,0.05271162
us-ia-123,0.119547038
us-ia-125,0.073995434
us-ia-127,0.023675519
us-ia-129,0.031556094
us-ia-131,0.024611384
us-ia-133,0.086222585
us-ia-135,0.281655707
us-ia-137,0.040679107
us-ia-139,0.083856506
us-ia-141,0.086212596
us-ia-143,0.078028231
us-ia-145,0.042183629
us-ia-147,0.08138018
us-ia-149,0.065576329
us-ia-151,0.040058522
us-ia-153,0.078859118
us-ia-155,
us-ia-157,0.009118187
us-ia-159,0.032914303
us-ia-161,0.07551624
us-ia-163,0.027364444
us-ia-165,
