,name,code,split_index
315,"Hardee County, FL",us-fl-049,0.03403518454740123
316,"Hendry County, FL",us-fl-051,0.033563347731966536
317,"Hernando County, FL",us-fl-053,0.016486142959973027
318,"Highlands County, FL",us-fl-055,0.011074125836474047
319,"Hillsborough County, FL",us-fl-057,0.02720749999273714
320,"Holmes County, FL",us-fl-059,0.053826622712216624
321,"Indian River County, FL",us-fl-061,0.0749079421258331
322,"Jackson County, FL",us-fl-063,0.01661047830718207
323,"Jefferson County, FL",us-fl-065,0.14586090837387472
324,"Lafayette County, FL",us-fl-067,0.04727970383784101
325,"Lake County, FL",us-fl-069,0.03023635921910106
326,"Lee County, FL",us-fl-071,0.06527693048809968
327,"Leon County, FL",us-fl-073,0.02274590898097295
328,"Levy County, FL",us-fl-075,0.02036798562901629
329,"Liberty County, FL",us-fl-077,0.08254519417475732
330,"Madison County, FL",us-fl-079,0.12212769572611445
331,"Manatee County, FL",us-fl-081,0.07579430239654664
332,"Marion County, FL",us-fl-083,0.008534206022324659
333,"Martin County, FL",us-fl-085,0.018768272773066752
334,"Miami-Dade County, FL",us-fl-086,0.31325695819381005
335,"Monroe County, FL",us-fl-087,0.08543077204377725
336,"Nassau County, FL",us-fl-089,0.07179173695532277
337,"Okaloosa County, FL",us-fl-091,0.03197624693252217
338,"Okeechobee County, FL",us-fl-093,0.00926849319875378
339,"Orange County, FL",us-fl-095,0.028703173969636953
340,"Osceola County, FL",us-fl-097,0.01992099653085011
341,"Palm Beach County, FL",us-fl-099,0.027790586662525818
342,"Pasco County, FL",us-fl-101,0.11854804512784575
343,"Pinellas County, FL",us-fl-103,0.057528961303112164
344,"Polk County, FL",us-fl-105,0.020838357261972223
345,"Putnam County, FL",us-fl-107,0.11072571584745228
346,"St. Johns County, FL",us-fl-109,0.0833295559882479
347,"St. Lucie County, FL",us-fl-111,0.015911179363242656
348,"Santa Rosa County, FL",us-fl-113,0.03092053030098839
349,"Sarasota County, FL",us-fl-115,0.05640671338464728
350,"Seminole County, FL",us-fl-117,0.04036678204071026
351,"Sumter County, FL",us-fl-119,0.02749538899870027
352,"Suwannee County, FL",us-fl-121,0.022148060696264626
353,"Taylor County, FL",us-fl-123,0.05432846364919511
354,"Union County, FL",us-fl-125,0.03955739255172411
355,"Volusia County, FL",us-fl-127,0.025514412642095224
356,"Wakulla County, FL",us-fl-129,0.02838758753682205
357,"Walton County, FL",us-fl-131,0.01595533415590948
358,"Washington County, FL",us-fl-133,0.004838950639416695
359,"Appling County, GA",us-ga-001,0.026225855155997638
360,"Atkinson County, GA",us-ga-003,0.011535884576104716
361,"Bacon County, GA",us-ga-005,0.23880597014925367
362,"Baker County, GA",us-ga-007,0.1426282051282051
363,"Baldwin County, GA",us-ga-009,0.7696698932737652
364,"Banks County, GA",us-ga-011,0.1696057347670251
365,"Barrow County, GA",us-ga-013,0.38685478320715755
366,"Bartow County, GA",us-ga-015,0.03454260195677743
367,"Ben Hill County, GA",us-ga-017,0.04945524776127036
368,"Berrien County, GA",us-ga-019,0.02147037898634485
369,"Bibb County, GA",us-ga-021,0.021584928433166672
370,"Bleckley County, GA",us-ga-023,0.04892600307475391
371,"Brantley County, GA",us-ga-025,0.1656086335502301
372,"Brooks County, GA",us-ga-027,0.03808540850141798
373,"Bryan County, GA",us-ga-029,0.43834442760166087
374,"Bulloch County, GA",us-ga-031,0.06870142340070429
375,"Burke County, GA",us-ga-033,0.0516944514547471
376,"Butts County, GA",us-ga-035,0.42884170695816687
377,"Calhoun County, GA",us-ga-037,0.1463067440667174
378,"Camden County, GA",us-ga-039,0.5055817152531612
379,"Candler County, GA",us-ga-043,0.043156234791176806
380,"Carroll County, GA",us-ga-045,0.03622066001535543
381,"Catoosa County, GA",us-ga-047,0.30894719138916915
382,"Charlton County, GA",us-ga-049,0.3901892430278885
383,"Chatham County, GA",us-ga-051,0.870316206238519
384,"Chattahoochee County, GA",us-ga-053,0.08944398384638017
385,"Chattooga County, GA",us-ga-055,0.31465099369849736
386,"Cherokee County, GA",us-ga-057,0.07494430769970029
387,"Clarke County, GA",us-ga-059,1.0463469405905372
388,"Clay County, GA",us-ga-061,0.11463614939655792
389,"Clayton County, GA",us-ga-063,0.1399745302878903
390,"Clinch County, GA",us-ga-065,0.4362525458248473
391,"Cobb County, GA",us-ga-067,0.04186753612453539
392,"Coffee County, GA",us-ga-069,0.021334505266830756
393,"Colquitt County, GA",us-ga-071,0.06082745191954321
394,"Columbia County, GA",us-ga-073,0.11265601438118288
395,"Cook County, GA",us-ga-075,0.055874395162452295
396,"Coweta County, GA",us-ga-077,0.05665066369374419
397,"Crawford County, GA",us-ga-079,0.12609396363023562
398,"Crisp County, GA",us-ga-081,0.1397459508759169
399,"Dade County, GA",us-ga-083,0.26810317206023715
400,"Dawson County, GA",us-ga-085,0.22005949851253714
401,"Decatur County, GA",us-ga-087,0.11855721341206882
402,"DeKalb County, GA",us-ga-089,0.0652835647078849
403,"Dodge County, GA",us-ga-091,0.04639082695954064
404,"Dooly County, GA",us-ga-093,0.1526992798721849
405,"Dougherty County, GA",us-ga-095,0.02892886660199101
406,"Douglas County, GA",us-ga-097,0.6613235650697981
407,"Early County, GA",us-ga-099,0.19148198099681663
408,"Echols County, GA",us-ga-101,0.21404399323181048
409,"Effingham County, GA",us-ga-103,0.22178103244126743
410,"Elbert County, GA",us-ga-105,0.49636909978715416
411,"Emanuel County, GA",us-ga-107,0.05109164788497039
412,"Evans County, GA",us-ga-109,0.06868748824997786
413,"Fannin County, GA",us-ga-111,0.26595834744327806
414,"Fayette County, GA",us-ga-113,0.027335901017971204
415,"Floyd County, GA",us-ga-115,0.43554958391123444
416,"Forsyth County, GA",us-ga-117,0.16958707197752018
417,"Franklin County, GA",us-ga-119,0.24341331451423193
418,"Fulton County, GA",us-ga-121,0.08659348722159993
419,"Gilmer County, GA",us-ga-123,0.25667423471384954
420,"Glascock County, GA",us-ga-125,0.16115107913669063
421,"Glynn County, GA",us-ga-127,0.5439833056066311
422,"Gordon County, GA",us-ga-129,0.28263621499024205
423,"Grady County, GA",us-ga-131,0.17111100584338346
424,"Greene County, GA",us-ga-133,0.5604948034342521
425,"Gwinnett County, GA",us-ga-135,0.13205130062650364
426,"Habersham County, GA",us-ga-137,0.2643908145047097
427,"Hall County, GA",us-ga-139,0.38264916400260285
428,"Hancock County, GA",us-ga-141,1.141759776536313
429,"Haralson County, GA",us-ga-143,0.22096504358545388
430,"Harris County, GA",us-ga-145,0.05227593568274784
431,"Hart County, GA",us-ga-147,0.40758129880399324
432,"Heard County, GA",us-ga-149,0.022037338206318424
433,"Henry County, GA",us-ga-151,0.1258024618633074
434,"Houston County, GA",us-ga-153,0.06272532726554564
435,"Irwin County, GA",us-ga-155,0.03606011460282925
436,"Jackson County, GA",us-ga-157,0.28140860610518575
437,"Jasper County, GA",us-ga-159,0.40645161290322573
438,"Jeff Davis County, GA",us-ga-161,0.017577740585717844
439,"Jefferson County, GA",us-ga-163,0.8346010332950631
440,"Jenkins County, GA",us-ga-165,0.047843158105830674
441,"Johnson County, GA",us-ga-167,0.4706999457406403
442,"Jones County, GA",us-ga-169,0.037385614414852136
443,"Lamar County, GA",us-ga-171,0.0217520463185204
444,"Lanier County, GA",us-ga-173,0.0387062690087156
445,"Laurens County, GA",us-ga-175,0.049697232796811985
446,"Lee County, GA",us-ga-177,0.07789433841887039
447,"Liberty County, GA",us-ga-179,0.9160007433562535
448,"Lincoln County, GA",us-ga-181,0.4825694783032667
449,"Long County, GA",us-ga-183,0.5273257226135535
450,"Lowndes County, GA",us-ga-185,0.055203563763716296
451,"Lumpkin County, GA",us-ga-187,0.3151710261569417
452,"McDuffie County, GA",us-ga-189,0.6134548985757445
453,"McIntosh County, GA",us-ga-191,0.6043537184482467
454,"Macon County, GA",us-ga-193,0.0942505775664561
455,"Madison County, GA",us-ga-195,0.3341806967827971
456,"Marion County, GA",us-ga-197,0.14535924643425785
457,"Meriwether County, GA",us-ga-199,0.03521117506210755
458,"Miller County, GA",us-ga-201,0.17584221554594515
459,"Mitchell County, GA",us-ga-205,0.1428764029546792
460,"Monroe County, GA",us-ga-207,0.05280790489360787
